

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
093.691  000.630  000.630: sourcing /Users/liuguangqi/.config/nvim/plugged/onedark.vim/autoload/onedark.vim
125.665  036.460  035.369: sourcing /Users/liuguangqi/.config/nvim/plugged/onedark.vim/colors/onedark.vim
125.842  119.140  021.118: sourcing /Users/liuguangqi/.config/nvim/init.vim
125.850  000.274: sourcing vimrc file(s)
129.623  000.926  000.926: sourcing /Users/liuguangqi/.config/nvim/plugged/coc.nvim/autoload/coc/rpc.vim
131.741  001.936  001.936: sourcing /Users/liuguangqi/.config/nvim/plugged/coc.nvim/autoload/coc/util.vim
133.216  001.033  001.033: sourcing /Users/liuguangqi/.config/nvim/plugged/coc.nvim/autoload/coc/client.vim
140.442  012.853  008.959: sourcing /Users/liuguangqi/.config/nvim/plugged/coc.nvim/plugin/coc.vim
142.352  001.328  001.328: sourcing /Users/liuguangqi/.config/nvim/plugged/auto-pairs/plugin/auto-pairs.vim
144.516  001.532  001.532: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-surround/plugin/surround.vim
146.175  000.358  000.358: sourcing /Users/liuguangqi/.config/nvim/plugged/wildfire.vim/autoload/wildfire/triggers.vim
146.755  001.613  001.255: sourcing /Users/liuguangqi/.config/nvim/plugged/wildfire.vim/plugin/wildfire.vim
149.600  001.138  001.138: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/autoload/nerdtree.vim
151.962  001.515  001.515: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/path.vim
153.014  000.855  000.855: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/menu_controller.vim
153.606  000.403  000.403: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/menu_item.vim
154.313  000.517  000.517: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/key_map.vim
155.499  001.000  001.000: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/bookmark.vim
156.645  000.937  000.937: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/tree_file_node.vim
158.233  001.396  001.396: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/tree_dir_node.vim
159.254  000.824  000.824: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/opener.vim
160.350  000.921  000.921: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/creator.vim
186.397  000.444  000.444: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/flag_set.vim
187.432  000.850  000.850: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/nerdtree.vim
188.721  001.112  001.112: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/ui.vim
189.271  000.367  000.367: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/event.vim
189.680  000.228  000.228: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/lib/nerdtree/notifier.vim
191.124  001.241  001.241: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/autoload/nerdtree/ui_glue.vim
218.534  000.367  000.367: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/nerdtree_plugin/exec_menuitem.vim
221.172  001.305  001.305: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/autoload/provider/clipboard.vim
222.067  003.416  002.111: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/nerdtree_plugin/fs_menu.vim
222.424  000.264  000.264: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/nerdtree_plugin/vcs.vim
223.833  076.099  058.302: sourcing /Users/liuguangqi/.config/nvim/plugged/nerdtree/plugin/NERD_tree.vim
225.861  001.089  001.089: sourcing /Users/liuguangqi/.config/nvim/plugged/ctrlp.vim/autoload/ctrlp/mrufiles.vim
226.209  002.142  001.053: sourcing /Users/liuguangqi/.config/nvim/plugged/ctrlp.vim/plugin/ctrlp.vim
